date,developerResponse,review,rating,isEdited,userName,title,app_name,app_id
12/19/20 15:29,"{'id': 19882037, 'body': 'Thank you for your review. We are sorry to hear of your recent experience as it sounds frustrating. Our team is working to address all messages as quickly as possible. When matters are urgent, we recommend reaching out to our Customer Care phone team at 800-321-6879. Please feel free to email reviewsupport@nurx.co if there if anything else we can do. ', 'modified': '2020-12-20T19:16:17Z'}","Nurx informed me that my lab results came back and I needed a prescription, and asked for my pharmacy info (which they had) ... and then went MIA for a full day. There is no phone # to call for assistance. 

I contacted the OneMedical team and they sent the prescription immediately.🙄

Takeaway: get a real medical app.",1,FALSE,dcladyboss,Fail. Get OneMedical,nurx-birth-control-delivered,1213141301
6/15/21 0:56,"{'id': 23421452, 'body': 'Hi Britt, we are disappointed to hear of your experience. As part of the initial consultation, we ask all of our patients if they would be willing to accept a generic medication in case a brand name is out of stock. This is likely what happened, but we’d like to look into this and make sure all of your questions are answered as well as learn more about this interaction with our team. Please email reviewsupport@nurx.co to locate your account best. We hope to hear from you soon.', 'modified': '2021-06-16T14:10:38Z'}","TOTAL BAIT & SWITCH. I read the bad reviews before downloading this app and wish I had listened. Don’t waste your money. 

I was taking a specific birth control prescribed by Nurx and everything was going great. I got a text literally saying “We're preparing your prescription refill in the next few days. No action is required from you :).” Nowhere did they say they were switching my medication to generic, nor did the text state the name of the medication, and since it clearly stated ‘refill’ I assumed it was the same medication. 

The next text from Nurx was a confirmation text that my birth control had shipped but in this text it listed the name of the medication which was totally different. The was not notice anywhere else that I would be receiving a generic version until AFTER they had already shipped it. 

I called customer service panicking because anyone who takes medication knows generics can be totally different than name brands. I personally have had horrible reactions to generics before, and additionally I have a thyroid condition and maintaining hormone balance is already a real issue for me. To have my medication switched with no notice was extremely upsetting.

The customer service representative and supervisor both assured me the medical team would take care of it, but I just received a message from the doctor basically saying, “too bad too sad it’s already shipped and those conditions don’t qualify you for non generic.” 

I put my trust in Nurx and the Doctors at Nurx and was completely let down. Just another health company that only cares about money and doesn’t value their customers.",1,FALSE,Britt.r.funnnn,BEWARE- will switch medication to generic w/ no warning and charge you,nurx-birth-control-delivered,1213141301
5/12/20 14:04,,"I got this app almost immediately after learning it is FDA approved as a form of birth control. But after using it alongside 2 other tracking apps for several months, I just don’t feel like I can trust the natural cycles algorithm. The other 2 apps I use frequently agree and both accurately predict the start of my cycle at the same time, while Natural Cycles seems to be several days off (literally from the start of my period, an objective measuring point). I also find the help section and articles to be lacking. On the technical side, I really appreciate the “compare” view and the “3 cycle” and “6 cycle” views but the app otherwise has a long way to go.",2,FALSE,Leighann breeze,"FDA approved, not the best",natural-cycles-birth-control,765535549
1/30/22 18:50,"{'id': 27785221, 'body': ""Hello, we're sorry to hear you have not been able to hear from our team! Our chat is not a live chat but our phone lines are available Mon - Fri 9am - 9pm EST to connect you to a live representatives in the events of an emergency. We'd like to help get your orders back on track, if possible, please email reviewsupport@nurx.co"", 'modified': '2022-02-01T13:06:28Z'}","I’ve gotten in contact with Nurx’s customer service a couple times. No response both instances. I need a 3-month supply shipped to my home, which they swear is a possibility. Yet, not one time that I’ve had to go to the pharmacy and pickup has a 3-month supply been available. Waiting for an answer still, but I cannot afford to wait much longer. I don’t understand why I haven’t been contacted.",2,FALSE,☀️💁🏽,Bad Customer Service,nurx-birth-control-delivered,1213141301
1/21/22 17:37,"{'id': 27667407, 'body': 'Hello, and thank you for your review. We are sorry to hear that this happened. If you want to reach out to us, you can contact us through help.naturalcycles.com for support. We take unintended pregnancies very seriously and want to hear any feedback you have for us, but we are unfortunately reminded that no method of birth control is 100% effective apart from abstaining from vaginal intercourse. Kind regards, Natural Cycles', 'modified': '2022-01-26T06:56:54Z'}","I used the app for 6 months before falling pregnant although it was used as a natural birth control option. Do not take chances if you want an unplanned pregnancy! 

 I am now 6 months pregnant and was auto-renewed for another $90 dollars. I tried cancelling the same day I received the invoice but customer service said it was too late. I explained my situation and the fact that I have no use for their app and do not plan to use it anymore as it has not been effective for me. They told me they could not refund me. It's upsetting that natural cycles almost scams people into paying for their product.",1,FALSE,ArcyDarcy94,Unplanned Pregnancy & Autorenewal Scam!,natural-cycles-birth-control,765535549
7/13/21 21:54,"{'id': 23942643, 'body': 'Hi Jeannie, \n\nWe are sorry to hear that you’ve become pregnant while using NC° Birth Control. We are here for you if you want to continue discussing your account or go through any questions you may have about this. As we are unfortunately not able to access your account or details via this platform, we kindly ask you to please reach out to us again via help.naturalcycles.com.\n\nRegards,\nNatural Cycles.', 'modified': '2021-07-15T09:39:43Z'}",My husband and I used this app on the prevention mode for birth control and after 5 months we got pregnant. After talking with customer service they admitted it was a mistake on the algorithm’s part for not providing enough “red days” around ovulation. This is not sufficient birth control- do not use for prevention.,1,FALSE,Jeannie&Tony,Insufficient for Birth Control,natural-cycles-birth-control,765535549
12/24/20 19:50,"{'id': 20006338, 'body': ""We are sorry to hear your payment method was not properly processed. When adding insurance, there is an option to apply the newly added insurance to your subscription/pending order to ensure it is processed successfully. We'd like to look more into this instance and provided assistance. Please email reviewsupport@nurx.co to best locate your account. "", 'modified': '2020-12-26T17:58:50Z'}","I added my insurance that completely covers my birth control, and they decided to charge me $60 instead of charging my insurance. No warning that they decided not to use my insurance and no way to reverse it. Now I’m out $60 on Christmas. Thanks Nurx!",1,FALSE,Ndodoskendkskenenenne,Warning: do not use this service if expecting insurance to be used,nurx-birth-control-delivered,1213141301
10/27/21 1:07,"{'id': 25951516, 'body': ""We are disappointed to hear of your experience as it sounds frustrating. We'd like to investigate this incident further and learn what went wrong. Please email reviewsupport@nurx.co to best locate your account. "", 'modified': '2021-10-28T15:24:13Z'}","I scheduled my next prescription to be shipped yesterday. I assumed it would ship automatically, but instead I got no response, no explanation for why I was hearing nothing, no money being taken out of my account, absolute radio silence. Now I am stuck without birth control because of this poorly run company. I won’t be back ever.",1,FALSE,Gabesgirl1031,Didn’t send my prescription on schedule,nurx-birth-control-delivered,1213141301
9/17/21 12:56,"{'id': 25211200, 'body': ""Hi, we are disappointed to hear of your experience and we'd like to learn more about what went wrong with this order. Please email reviewsupport@nurx.co to best investigate this matter further. "", 'modified': '2021-09-20T14:59:56Z'}","I used this company before in 2020, I wanted to get birth control again and I’ve ordered tri-sprintec. My order have been processing since August 30th 2021 and now it’s september 17 2021. Ridiculous wait time and I’ve already paid for my medical evaluation for my recent order and now their making me pay it again but I refuse to pay.",2,FALSE,oxziez,Waste of time,nurx-birth-control-delivered,1213141301
7/24/20 0:01,,"this is such a scam, if won’t let me cancel my order when it hasn’t shipped yet and they are going to send me an awfully rated birth control pill that i specifically didn’t want.",1,FALSE,pinconvosplease,awful!!,planned-parenthood-direct,1214393415
10/8/20 21:51,"{'id': 18458926, 'body': ""Thank you for your feedback, we're sorry you are having a frustrating experience! We prioritize the security and privacy of patient health data above all else, which is why we require patients to log into the app in order to view their messages. However we will soon be introducing push notifications, which should streamline things. Stay tuned!"", 'modified': '2020-10-13T18:50:30Z'}","This app would be great... if it worked. It constantly signs me out. I NEVER get notifications because the app can’t remember my account. So I never see messages and notifications until I sign in. It’s infuriating. How hard is it for an app to remember your account? I just went to update after months and months and theres no update! Disappointing that they’re not making efforts to make the app better. I gave a star because when I AM signed in, it works great and it’s a really accessible way to get birth control. But the app needs to be updated to fix this issue ASAP",2,FALSE,Sadaluc,Keeps signing me out,nurx-birth-control-delivered,1213141301
1/16/22 13:50,"{'id': 27727640, 'body': 'Oh no! Thank you for bringing this to our attention. This is definitely not the experience we’re aiming to provide. Please contact our customer support desk directly by sending us a message at help@plannedparenthood.org. They will provide some troubleshooting steps so that you can get taken care of.', 'modified': '2022-01-28T18:48:10Z'}",It stalls at a blue screen with the planned parenthood logo & never loads. I’ve tried uninstalling & reinstalling the app. I’ve sent two messages to ‘technical support’ with no response.,1,FALSE,houyvddbki,The app just stopped working on my iPhone 12..,planned-parenthood-direct,1214393415
10/20/20 18:07,"{'id': 18648209, 'body': ""Hi Rebekah, we are sorry to hear you had a frustrating experience. Unfortunately, when a prescription is limited, there could be delays if the medication is not in stock due to our pharmacy needing to place a special order to get this medication in stock. We do offer our patients options in order to get their medication filled as quickly as possible while our pharmacy works on getting the medication in stock. We'd like to learn more about your experience and assist in anyway possible. Please email reviewsupport@nurx.co to best locate your account. Thanks!"", 'modified': '2020-10-22T17:06:31Z'}","I used Nurx before with no problems, so why was this time so difficult? Every question I asked was answered with an automated message by “Dr. Nimi Dev”, “Dr. Jennifer”, and “Dr. Austin”. I received two messages that said, at the top, that they were “Dr. Jennifer”, and at the bottom, that they were “Dr. Austin”.
Don’t waste your time with this service unless you know exactly what you want and ignore the “doctors”. They waited more than a week to tell me my pill wasn’t in stock (I understand not being in stock. But a WEEK?) and then continued to give me the run-around while not being clear in their AUTOMATED MESSAGES.

I cannot believe a good service that I used prior has deteriorated into such gross excuses for customer service, absolutely no help or rapport with the “doctors”, and a frustrating wait time where you could have gone to The Pill Club or somewhere else and gotten your order in less time than it took Nurx to tell me it was unavailable.

I do not recommend this service unless you know exactly what you need and are going to ignore the messages from bots posing as “doctors”.",1,FALSE,RebekahNameWasTakenWTF,The “doctors” are automated messages.,nurx-birth-control-delivered,1213141301
12/9/20 4:53,"{'id': 19699581, 'body': ""Oh no – this is definitely not to our standards. Please shoot a message over to our support team at help@plannedparenthooddirect.org. We'd like to make sure that this issue is addressed."", 'modified': '2020-12-11T14:12:33Z'}",I love planned parenthood but the app won’t even let me create an account!  I’m 24 years old so I know I’m old enough but as soon as I put in my birthday it exits out of the app and I have to start all over. I have a FaceTime appointment that I guess I can’t use now because I can’t create an account for the app to get the link for the appointment 😓,1,FALSE,screw you fundango,"Love planned parenthood, hate the app.",planned-parenthood-direct,1214393415
8/4/20 14:43,"{'id': 17288180, 'body': ""Thank you for your feedback. Patient safety is our top priority and we want to make sure that all of your questions are answered in a timely manner. We would also like to clarify that we ask all patients if they would be willing to accept a generic medication in case a brand name is out of stock. Please email us at reviewsupport@nurx.co so we can locate your account and see if there's anything we can do to help."", 'modified': '2020-08-14T16:00:40Z'}","First, make sure that if you need something specific they write the prescription “dispense  as written” or you might get a random substitute. 

Messaging in the app is extremely frustrating. It takes a minimum of 24 hours to get a reply, sometimes days, one time over a week.  In order to fix my incorrect prescription, it took over a month of back and forth messages, causing me to not revive my correct prescription until days after I needed to start my pill pack. 

They do not prioritize messages, nor is there a live chat function. Even though I would respond within one minute to messages I received, I needed to wait however long it took, and even with my diligence and sending messages indicating urgency, nothing helped elicit the service or help I needed.

This so is no substitute for the care of a pharmacy or doctor. It does not make me feel listened to, nor cared for. I never thought I would say such a thing, but I appreciate the doctors and pharmacy so much more now after using this terrible service.",1,FALSE,kalreviews,Terrible customer service,nurx-birth-control-delivered,1213141301
1/2/22 17:04,"{'id': 27257224, 'body': 'Hello, we are sorry to hear this and we believe we know what maybe the issue. When placing your request, please be sure to change the year first and then the month and day and that should allow you to proceed with the request without issues. Please email reviewsupport@nurx.co if you are still having difficulties with this process for our team to investigate this further. ', 'modified': '2022-01-05T14:16:32Z'}","If you can’t enter your date of birth because the app is stuck on Todays date??????
Gave up.
Good concept but need to work on design.",1,FALSE,Anybeach37,Cannot enter information into app,nurx-birth-control-delivered,1213141301
5/20/20 7:04,"{'id': 15450522, 'body': ""Hi there, thank you for your review and we are sorry to hear about some of your frustrations. To provide some clarification, the medical consultation fee covers unlimited interactions with our medical team at the time of sign up (when submitting your request) and is shown at the check out screen prior to proceeding. Based on what you shared, it sounds like you submitted a request for our medical team to recommend a birth control brand based on your health history. With this type of request, we are unsure of what medication will be prescribed until our medical team has been able to review your health history. \n\nIf you do have a specific medication that you had in mind, send us an email at the address listed below and we can make a note on your account. However, if you've decided that you would not like to proceed, we would be happy to issue a refund. We can also make sure your payment information is removed once your account is deactivated. While we do not have a live chat feature, we do have customer care line where you can speak to a live representative,  Mon - Fri 9am - 9pm EST. The phone number for our customer line is 800-321-6879.\n\nAgain, we apologize for your frustration but we would love to provide any additional assistance. Please reach out to us through email at reviewsupport@nurx.co with any additional questions or concerns. Thanks and stay safe."", 'modified': '2020-05-20T16:36:28Z'}","I figured since this service was available i should try it out thinking i'd do myself a favor in not having to deal with doc appointments and such. BOY WAS I WRONG. As soon as you sign up for a ""consultation"" (via email/app) they take $15.00 just wait WEEKS for a simple yes or no! NOR DO THEY GIVE YOU AN IDEA OF WHAT TYPE OF BC YOUR PENDING ""CONSULTATION"" is for. 
🗣🗣SERVICE CHARGE -🗣🗣 YOU CANNOT REMOVE YOUR CREDIT CARD THROUGH THEIR WEBSIT/APP ACCOUNT AND THEY CAN/WILL KEEP CHARGING YOU FOR ANY SERVICE STEPS THAT YOU MAY NOT EVEN BE AWARE OF - NO ARE YOU ABLE TO DISABLE ""PENDING CONSULT"" --- YOU WILL HAVE TO EMAIL OR TEXT THEIR SERVICE # FOR ACCOUNT DISABLE. I CANCELED MY PENDING CONSULT AND NO LONGER WILL DESIRE THEIR SERVICE. 🦋🦋ThePillClub is where its at. SERVICE IS EASILY UNDERSTANDING AND 100x MORE PROFESSIONAL - THEY HAVE THE BEST CUSTOMER SERVICE!!!!! THANK YOU PILLCLUB 🦋🦋",1,FALSE,420bri96,WORST BIRTH CONTROL SERVICE EVER,nurx-birth-control-delivered,1213141301
11/30/20 15:03,"{'id': 19475922, 'body': ""Hi, we're sorry to hear that and we would love to see what went wrong here. Please reach out to our customer support team at reviewsupport@nurx.co.\n\n"", 'modified': '2020-12-02T01:40:07Z'}",Charged me and did not fill prescription. Better off walking into pharmacy and buying full price because that is what you will pay and then get charged for their “consultation”. A whole joke. Do not use.,1,FALSE,maria santi,Do not use. Waste of money.,nurx-birth-control-delivered,1213141301
7/13/20 22:05,"{'id': 16708755, 'body': ""We apologize for any inconvenience this has caused. We list all of the insurance plans that we accept on our website but we'd like to see if there's anything else we can do to help. If you haven't yet received a consultation from a medical provider, we may be able to provide you with a refund. Please email us at reviewsupport@nurx.co so we can look up your account. Thanks!"", 'modified': '2020-07-17T23:11:34Z'}","They don’t accept Medicaid unless you are from Texas, California, or Illinois. If I had known that I would have gone with a different online option. They make you put your credit card info in when you start to sign up. I didn’t know they didn’t accept Medicaid from my state so I got charged a $15 “consultation” fee and still can’t get my medication. Absolutely terrible do not use Nurx unless you enjoy being ripped off",1,FALSE,Ellie Lovekin,A rip off,nurx-birth-control-delivered,1213141301
6/20/20 22:40,"{'id': 16177352, 'body': ""Hi there, thank you for taking the time to leave us a review. We sincerely apologize for your experience, especially with your medication arriving later than expected and confusion with your insurance plan. We'd like to see if there's anything else we can do to help. Please email us at reviewsuport@nurx.co"", 'modified': '2020-06-23T19:53:10Z'}","If it works how it’s suppose to, it would’ve been a great service to have. However it is a complete headache. I had moved and didn’t have a primary care doctor to prescribe me the pill so I tried Nurx. 

 I’ve had nothing but problems with Nurx. Whether it’s prescriptions being lost in the mail, being a month late, or them saying my insurance isn’t working when I just used the same insurance that worked a month before. I’m so sick of this. I have issues with painful periods and I can’t have a service that makes me wonder if I’ll get the medication I need to manage them. I tried for 6 months and now I’m going back to a primary doctor because this is just not worth the complete mess it is.",1,FALSE,adSdfghjkl,What a complete headache.,nurx-birth-control-delivered,1213141301
2/21/21 23:08,"{'id': 21244862, 'body': ""Hi, thank you for your review. We're disappointed to hear about your experience with our service. If there is anything more we can do, please email us at reviewsupport@nurx.co.\n"", 'modified': '2021-02-23T18:24:03Z'}","I have used the pill club in the past and I thought Nurx worked the same. When I requested a morning after pill, they charged me $15 and sent a “prescription” to my local Walgreens. I proceeded to drive there and pay FULL PRICE for a plan b. What was the $15 for? I thought it was to APPLY MY INSURANCE SO I COULD GET IT FREE/CHEAPER.",1,FALSE,Billmoss,SCAM. Charged me $15 to drive to the pharmacy and pay full price for Plan B,nurx-birth-control-delivered,1213141301
5/9/20 19:12,"{'id': 15275793, 'body': 'We apologize for the confusion and frustration this has caused. Most birth control brands start at $15/month without insurance, but some brands can cost more depending on the medication you proceed with. We would love to connect to provide additional information and options that will be in the $15 per month supply range. Please email\xa0reviewsupport@nurx.co to connect. Thanks!', 'modified': '2020-05-12T18:44:13Z'}","So, let’s get one thing straight. Their advertising is completely a lie. They state for their average cost of birth control pills to be $15 and yet when you pay out of pocket, the cheapest one they can offer is $20/month. Either they don’t know how to calculate averages, basic math, or they are liars. I think the second option applies.",1,FALSE,Hugdrg,Liars!,nurx-birth-control-delivered,1213141301
8/20/20 4:55,"{'id': 17427196, 'body': ""Hi Alex, we are sorry to hear we have not been meeting expectations recently. As part of our initial request process, we ask patients if they would be comfortable receiving a generic equivalent of their prescribed medication, but we are able to make changes to your prescription if you prefer a specific brand. We'd like to look into this and make sure your concerns are addressed. Please email us at reviewsupport@nurx.co so we can connect"", 'modified': '2020-08-21T23:23:31Z'}","I am using this app for about four years now. In the beginning it was amazing. Customer service was always quick to respond and fix any errors that they made, my prescription arrived quickly, and if I ever needed to speak with a doctor it was fast and easy. 

 The last two-ish years have been absolutely terrible. Ever since their name got out there more, their customer service has gone downhill tremendously. It takes weeks on end to get a response through the chat, and if you call on the phone you have to wait upwards of 1 to 2 hours just talk to someone even if you're only the first or second person in line. They try to change my prescription all the time even when I tell them not to, they try to charge me multiple times per month for my prescription even after I've already paid for it and it's been shipped. And they are trying to refill my prescription every two weeks instead of every four weeks like they're supposed to. 

 I loved this company in the beginning, but I'm starting to think that it's time I find another. They have just gone downhill so much that I don't think they are worth my time and effort anymore. It's supposed to be ""birth control made easy"" but it seems to be more difficult than it's  worth at this point.",2,FALSE,ally.higgs,Was better in the beginning...,nurx-birth-control-delivered,1213141301
