Unnamed: 0,date,developerResponse,review,rating,isEdited,userName,title,app_name,app_id,category,probability,l1_inaccurate_cycle_prediction,l2_unfair_functionality_charges,l3_user_data_privacy_concerns,l4_if_related_to_the_overturn
66,7/1/22 16:03,"{'id': 30725558, 'body': 'Hi Sammyvi! The past privacy investigation was based on inaccurate representations. Flo has never shared any user information with any third parties for commercial purposes. More information can be found here: https://flo.health/press-center/flo-response-ftc-settlement-update\nYours,\nFlo', 'modified': '2022-07-05T11:48:42Z'}","They deleted my other review because I said how I used this for years until more recently the overturning of womens rights that republicans have destroyed in the USA. Shame on you Flo for selling womens information and hunting down my sisters trying to get abortions. This app sells your information!! do not trust her, she is a LIAR. They keep responding to others here that they don’t do this but read the fine print they are liars and anti choice. Shame on you Flo for being anti-choice and I hope you guys get cancelled “As per NYT: Users with privacy concerns might have found comfort in Flo’s promise to keep select information collected through its app secret, noting that, even as it might share some personal data with other companies, it would not disclose details about “cycles, pregnancy, symptoms notes and other information that is entered by you.” It turns out that promise was misleading, regulators say. From 2016 to 2019, the company behind Flo, which was founded in 2015, passed on certain intimate health details of its users to marketing and analytics companies like Facebook and Google, according to the Federal Trade Commission, which filed a complaint in January saying it had reason to believe that THE COMPANY MISLEADS ITS USERS”",1,False,Sammyvi,Sells information and they purposely removed my scathing review because I am telling the truth,flo-period-pregnancy-tracker,1038369065,#NAME?,0.980709343,0,0,1,1
136,5/14/23 22:28,,"I opened an email from Flo today and instead of celebrating mothers, the email sent today is inappropriate misinformation and only fearmongers vulnerable women!!! I am in shock that this email was sent but especially on such a monumental day as Mother’s Day. How heartless and cruel of you to promote killing babies on this precious day. It’s disgusting! 

“In the aftermath of the historic overturn of Roe v Wade, clinics are closing, citizens face prosecution for providing or accessing care, health education is being limited, and social media continues to power the spread of misinformation. We commissioned a report to uncover the truth about the state of women’s health in post-Roe America. What we found was startling.”  

What is startling is that that you use these fearmonger tactics and LIE to vulnerable woman!!! Not a single word of abortion in your email when clearly that’s what you’re talking about. This is solely to SCARE women. Woman will NOT be limited in the care they receive. They will still receive the best care from their clinics, hospitals, and doctors. For you to say otherwise is a LIE! Abortion facilities KILLING innocent babies should be shut down for the safety and well-being of every child and woman!",1,False,emilygraceking,Fearmongers women by promoting abortion on mother’s day,flo-period-pregnancy-tracker,1038369065,#NAME?,0.9903671,0,0,0,1
160,5/14/22 14:37,"{'id': 30011445, 'body': ""Hello Luvy_Lolaxo!\nThank you very much for asking. Flo’s mission is to build a better future for female health, which is why Flo classifies as “pro-health.” We’re aligned with the World Health Organization (WHO): Being able to obtain a safe abortion is a crucial part of health care. You can read our full statement here: https://www.linkedin.com/pulse/flo-always-stand-up-health-women-anna-klepchukova/?trackingId=AUQafLggmGy9zVpZ4%2FC%2Bgw%3D%3D\nYour health data will never be shared with any company but Flo. Beyond this, we will never require you to log an abortion or offer details that you feel should be kept private. Should you have any concerns about the data you've submitted, please reach out to our customer support team who will ensure all historical data has been deleted. We firmly believe that our users deserve complete control over their data and we are here to support you every step of the way. Kind Regards, Flo Team"", 'modified': '2022-05-27T17:07:20Z'}","Hey! I used Flo for about the year but I think i’ll stick to my calendar now. Its extremely sick how our provate information is being constantly recorded, tracked, trafficked, and sent directly to the government. So what people want to use condoms or want an abortion. That is life and you cannot control that. How about if you were physically or mentally incapable of giving birth to a human.  A human? I hate how its a bunch of white old men who make this decision for us women. We are not yours anymore. We are our own people, for the love of god please do not use this app. Adding on to this I would like to comment the the pressure to use the premium feature. When you get the app they constantly remove features with their updates and tell you to purchase the premium option in order to get it back. This app is truly sickening and I hope that those white old men realize what their doing is sick and that no teenager deserves to give birth if they   are not prepared for it. No woman should give birth if they are not prepared for it. I will be taking my business somewhere else. I am truly unsatisfied and I hope that this business completely fails.",1,False,Luvy_Lolaxo,Disgusting,flo-period-pregnancy-tracker,1038369065,#NAME?,0.520108882,0,1,1,1
200,7/25/22 0:58,"{'id': 31211196, 'body': 'Hi NishanRV! We hear your concern. Flo will never sell your personal data, and we will soon be launching a new feature: Anonymous Mode, that removes your personal identity from your Flo account. This mode will make it so that no entity can identify you. We will be sharing more details with you in the coming weeks.\nYours,\nFlo', 'modified': '2022-08-01T13:00:13Z'}","I used to like using this app through the years and have decided to delete today. As an iPhone user since 2008 this is my first review of an app. Someone else said using the chat feature for a few mins just to need premium right there at the end- cruel, indeed. I also feel like the notifications such as “you max experience a headache today” may actually cause a headache because the seed has been planted and cause the user to feel those effects because the app mentioned it. Silly especially since I never logged those symptoms ever. I only use the app to track ovulation. Speaking of tracking, this app is used to sell information which includes health data and when you’ll ovulate. What a violation especially in times during roe v wade and you’ll have to manually switch the app settings so you won’t be tracked. Another app has come out which is free and doesn’t sell info. Flo you have sold out. Women are a business to you. This isn’t an app for women in mind. As if paying for pads and tampons isn’t enough we have to pay for the app. 0/5 stars.",1,False,NishanRV,Premium subscriptions annoying,flo-period-pregnancy-tracker,1038369065,#NAME?,0.984403327,0,1,1,1
366,2/12/23 4:13,,"Almost all of the most recent reviews are 1 star for a reason. Flo has decided you are not worthy, unless you pay for a premium membership. 

I came to Flo after the horrifying Roe V Wade incidents recently and read through to make sure they weren’t selling info. Once I downloaded it, I loved tracking my symptoms. I love being able to know where I’m at in my cycle and love the alerts on what to expect (headache, calm moods, etc) and overall, I just enjoyed using the app. Now, you can’t even open the app without it trying to force you into a premium membership. You open the app, ad. You click something, ad. You log something, ad. You scroll down, ad. They changed the app color to red (no not the background on the app but the actual app color) and since then, it’s all been downhill. As they lose more and more customers, they’ll realize these were bad business moves. 

We all understand how businesses work, we know you need premium memberships to fund your app, and when you offered the $1/month offers during Christmas and new years, I was SO close to subscribing (I’ve never paid for an app so I didn’t do it) but forcing people into memberships is not how to do it. Good businesses don’t take away from nonmembers, they offer more for premium members. 

Hopefully y’all will realize the mistakes and fix it so we can all come back. Until then…",1,False,MaggsMC07,Hopefully they see,flo-period-pregnancy-tracker,1038369065,#NAME?,0.842414656,0,1,1,1
377,5/4/22 20:30,,"I had to uninstall this app because the developers don’t really care about the comment section. Time and time again, I came across anti-vaxxers trying to claim that vaccines cause autism and have “poisons” in them, comments that shoved religion down people’s throats, and anti-LGBT+ rhetoric in what was supposed to be safe spaces. Furthermore, misinformation about COVID-19 and encouraging other users to go without masks and spreading conspiracy theories in off-topic sections. There’s even misinformation about birth control and abortion, with several users at one point claiming to an underage teen wanting to know about abortion that doctors put a blender inside the vagina and “mush up the baby”?? I had to talk to several people about what abortion was and how it wasn’t “a sin”. I’m sorry but this is way too reckless and uncomfortable for anyone. The amount of fake information in several comment threads is enough to SERIOUSLY affect any minors or uniformed people.",1,False,Newt_Noot,Dangerous Misinformation Rampant in Comments and a Hateful Community,flo-period-pregnancy-tracker,1038369065,"The review text does not fit into any of the provided categories. The concerns raised are primarily about misinformation and inappropriate content in the comment sections, rather than issues with cycle prediction, functionality charges, user data privacy, or the overturn of Roe v. Wade.",0.583601204,0,0,0,0
824,7/9/22 22:45,,"Yeh so I did a test to see what your app would say about abortion. cus I heard you would start selling our information. I said I was pregnant, but then I clicked no longe r pregnant (I made it so I was “ten weeks pregnant” ) they asked how I lost the “fetus” I said other cus the other option was miscarriage, immediately I got these pages on the app that said things like “how do you feel about this miscarriage” “tell us what you want to say to your lost child” like what. How about you make support groups for people who got abortions which I what I’ve done twice, do not regret the slightest. i got these comments about people saying abortion is the devil and miscarriages gods way like what. Just track our symptoms and log out periods, stop spreading anti abortion pages and god loving peoples ignorant opinions",1,False,Nova's Darkness,god loving app,flo-period-pregnancy-tracker,1038369065,#NAME?,0.993924786,0,0,1,1
848,5/11/23 15:39,,"I love the app but it just seems crazy to me that a company wants to profit off of women NEEDING to track their period. There are so many pop ups when you open the app to get you to spend money. The pop ups are so bad that it doesn’t even let you close the add , you have to close the app completely just to open it up again to try and actually use the app. Apple now has a free period tracking. I’ll be using that now. AGAIN it’s so sad companies profit on women’s health. I would probably feel better about paying if most of my payment went toward helping women in the US and other countries have better access to pads, birth control, and abortions.",2,False,GoofBallGreen,The adds to get you to purchase is ridiculous,flo-period-pregnancy-tracker,1038369065,#NAME?,0.996233982,0,1,0,0
1216,6/25/22 4:23,"{'id': 30602098, 'body': 'Hi there! We will do everything in our power to protect the data and privacy of our users. We hear your concern. We will soon be launching a new feature called “Anonymous Mode” which allows you to remove your personal identity, including your name and email address from your Flo account. This mode will make it so that no entity can identify you. We will be sharing more details with you in the coming weeks. Yours, Flo', 'modified': '2022-06-28T13:15:34Z'}","I have been using this app since middle school. And it has been very useful and easy to use. But because of the Roe v. Wade decision, I have decided to delete this app, and asked many of my peers to delete it as well. It has been shown that the information we put on here can be seen and tracked by the government. Therefore putting our lives at risk in case we do get pregnant and needs an abortion. I wish to keep my tracker accurate, so if I do get pregnant, I wish to track it, and same as getting an abortion. Good app, but it’s going to be a waste…I suggest other woman reading this paragraph to delete this app as well, to protect yourself.",2,False,finaltina01,Blame the Supreme Court,flo-period-pregnancy-tracker,1038369065,#NAME?,0.992026596,0,0,1,1
1352,6/26/22 23:17,"{'id': 30605206, 'body': 'Hi there! We will do everything in our power to protect the data and privacy of our users. We hear your concern. Flo will never sell your personal data. We will soon be launching a new feature called “Anonymous Mode” which allows you to remove your personal identity, including your name and email address from your Flo account. This mode will make it so that no entity can identify you. We will be sharing more details with you in the coming weeks.\nYours,\nFlo', 'modified': '2022-06-28T16:10:06Z'}","sense abortion just became illegal, this app sells your info to the government and even before abortion was illegal they have be doing this. 

 do not download this app. Especially if you are pregnant and planning on getting a abortion, Even if your aren’t getting
a abortion, the government will try to prosecute you for having it late because they will still
think that you had an abortion. 

This app also has a “pregnancy mode”  where it tells you all the symptoms like having a miscarriage and if you didn’t know, having a miscarriage is illegal even if you can’t control it. 
which allows police and the government too know that you had a miscarriage, that’s not safe.

You can read the description of this app and it will say “we don’t sell your info” and it’s all a lie

This app steals women’s privacy and completely invades it with no remorse at all. 
This app is dangerous if your pregnant or not. 

They track your cycle to gain more information out of you and I think that’s disgusting",1,False,mimi_3457,THIS APP SELLS YOUR INFO!! DONT DOWNLOAD,flo-period-pregnancy-tracker,1038369065,#NAME?,0.93362051,0,0,1,1
